epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.319,0.49767,0.38359,0.93067,0.98076,0.97058,0.97286,0.87884,0.53822,0.30827,0.90603,0.000359409,0.000359409,0.000359409
43,130.385,0.47018,0.36442,0.8983,0.97532,0.9598,0.97253,0.86772,0.52181,0.30845,0.9023,0.000341077,0.000341077,0.000341077
44,132.668,0.49194,0.35125,0.91055,0.96717,0.95714,0.97253,0.89426,0.4903,0.29935,0.89389,0.000322745,0.000322745,0.000322745
45,134.967,0.43405,0.34345,0.88295,0.96622,0.96371,0.97286,0.88517,0.4965,0.29325,0.89263,0.000304414,0.000304414,0.000304414
46,137.271,0.47901,0.34928,0.92541,0.9844,0.975,0.97382,0.87093,0.52968,0.27936,0.88968,0.000286083,0.000286083,0.000286083
47,139.454,0.4489,0.33157,0.88103,0.98594,0.9736,0.97449,0.86862,0.54836,0.27908,0.89286,0.000267751,0.000267751,0.000267751
48,142.191,0.43517,0.33526,0.88546,0.98661,0.975,0.97464,0.86455,0.54564,0.28085,0.89831,0.00024942,0.00024942,0.00024942
49,144.808,0.44953,0.32632,0.88802,0.9848,0.975,0.9748,0.86149,0.54627,0.27528,0.8974,0.000231088,0.000231088,0.000231088
50,147.106,0.44348,0.32215,0.8988,0.98572,0.975,0.97585,0.87155,0.53517,0.2722,0.88457,0.000212757,0.000212757,0.000212757
51,153.232,0.33787,0.28256,0.82699,0.9837,0.975,0.97537,0.86857,0.53619,0.27052,0.87975,0.000194425,0.000194425,0.000194425
52,157.683,0.36553,0.27729,0.80239,0.98084,0.97275,0.97516,0.88031,0.50735,0.27046,0.8722,0.000176094,0.000176094,0.000176094
53,160.846,0.34863,0.26655,0.81561,0.98185,0.97298,0.97497,0.88121,0.48207,0.25898,0.87077,0.000157762,0.000157762,0.000157762
54,163.157,0.33928,0.26131,0.82824,0.98403,0.975,0.97436,0.88269,0.47568,0.24931,0.87102,0.000139431,0.000139431,0.000139431
55,165.362,0.3409,0.264,0.81628,0.9849,0.975,0.97412,0.87952,0.48079,0.25176,0.87043,0.000121099,0.000121099,0.000121099
56,168.18,0.32848,0.2489,0.81522,0.98668,0.975,0.97412,0.87691,0.49626,0.26104,0.86785,0.000102768,0.000102768,0.000102768
57,170.909,0.32382,0.2565,0.82381,0.98634,0.97229,0.97412,0.87897,0.50406,0.25891,0.86942,8.4436e-05,8.4436e-05,8.4436e-05
58,173.188,0.32358,0.24003,0.80467,0.98473,0.97055,0.97449,0.87704,0.49958,0.25423,0.8667,6.61045e-05,6.61045e-05,6.61045e-05
59,175.471,0.32284,0.2485,0.82807,0.98531,0.97137,0.97424,0.88694,0.4872,0.25677,0.86387,4.7773e-05,4.7773e-05,4.7773e-05
60,177.709,0.31388,0.24386,0.80293,0.98545,0.97265,0.97424,0.88339,0.47664,0.25583,0.86153,2.94415e-05,2.94415e-05,2.94415e-05
